duration,src_bytes,dst_bytes,count,dst_host_srv_count,labels
0,0,0,245,7,0
0,147,0,3,1,1
0,262,1011,3,255,1
0,1032,0,263,255,0
0,0,0,109,7,0
0,261,8412,9,255,1
0,0,0,145,8,0
0,0,0,250,2,0
0,294,1719,8,255,1
0,221,981,2,82,1
0,284,10352,2,255,1
0,0,0,1,1,0
0,309,16096,3,129,1
0,334,0,2,26,0
0,0,0,13,64,0
0,0,0,87,1,0
0,214,283,2,255,1
0,0,0,292,14,0
0,0,0,295,1,0
0,0,0,143,15,0
0,46,78,278,254,1
0,748,0,1,92,1
0,0,0,102,18,0
0,8,0,1,15,0
0,0,0,251,3,0
0,329,8437,4,255,1
0,9,0,2,119,1
0,46,128,222,253,1
0,1766,0,2,6,1
0,0,0,260,4,0
9015,1,0,2,2,0
7,8,135,1,6,1
0,266,529,1,255,1
0,245,0,3,68,1
0,295,465,11,255,1
0,0,0,44,12,0
0,228,6834,2,19,1
0,1032,0,511,212,0
0,0,0,272,15,0
0,0,0,122,19,0
0,0,0,287,3,0
0,0,0,1,195,1
0,0,0,486,1,0
0,1,0,22,6,0
0,0,0,286,11,0
0,30,0,1,247,1
1,2078,333,1,117,1
0,19,0,1,5,1
0,661,329,1,69,1
0,28,0,35,34,0
0,0,0,28,42,0
0,0,0,108,18,0
0,0,0,101,15,0
0,1075,364,1,100,1
0,223,656,12,255,1
15159,350,1185,1,142,0
0,233,2470,10,255,1
0,0,0,223,9,0
0,0,0,223,17,0
0,201,1938,19,255,1
0,271,4781,4,28,1
0,14416,0,1,50,1
0,227,11564,5,52,1
0,0,0,406,1,0
0,225,2445,4,255,1
0,176,426,6,255,1
0,0,0,143,14,0
0,227,762,17,255,1
0,855,575,1,20,1
0,944,330,1,166,1
0,954,326,2,104,1
0,0,0,201,18,0
0,166,34660,1,255,1
0,306,2698,4,240,1
0,0,0,124,19,0
0,0,0,162,1,0
0,1480,0,2,38,0
0,0,0,277,17,0
0,313,8549,4,255,1
0,0,0,274,22,0
0,0,0,141,16,0
0,285,6008,3,255,1
0,226,1411,8,255,1
0,256,12984,1,255,1
1,3740,449,1,185,1
0,224,449,10,255,1
0,0,0,103,3,0
4,832,0,1,28,0
0,0,0,246,20,0
0,8,0,1,25,0
0,201,169,7,255,1
0,285,304,32,255,1
0,0,0,125,24,0
0,7422,0,8,44,1
0,198,12884,2,2,1
20,2310,328,1,157,1
0,331,955,6,255,1
0,65,0,9,16,1
0,28,0,4,71,0
0,45,77,171,232,1
0,0,0,250,3,0
0,0,0,238,7,0
0,0,0,102,2,0
0,9,142,1,12,1
0,283,912,2,255,1
0,221,1789,2,255,1
0,18,0,1,123,0
0,0,0,281,3,0
0,0,0,30,52,0
0,0,0,276,8,0
0,302,1380,5,187,1
0,0,0,163,9,0
0,8,0,1,60,0
0,0,0,301,19,0
0,355,870,28,255,1
0,8,0,1,63,0
18,106,1468,1,1,1
0,286,1423,16,255,1
9235,1,0,2,2,0
0,0,0,1,1,0
0,1032,0,46,46,0
0,168,9551,1,255,1
0,238,864,39,255,1
0,0,0,1,1,0
0,291,10369,6,255,1
0,0,0,211,22,0
0,749,330,1,129,1
0,198,6924,12,255,1
0,0,0,280,11,0
0,167,709,1,255,1
0,241,851,17,255,1
0,337,3360,6,255,1
0,729,328,1,156,1
0,8,0,1,111,0
0,0,0,201,4,0
0,222,1483,3,255,1
0,0,0,276,14,0
0,0,0,1,255,1
0,46,134,145,255,1
0,246,2719,1,255,1
0,222,771,8,255,1
0,0,0,258,10,0
0,0,0,256,10,0
409,279,9598,1,113,1
0,226,651,12,255,1
0,299,447,26,255,1
0,0,0,14,26,0
0,12,0,2,88,1
0,281,1951,30,255,1
0,0,0,138,25,0
0,42,42,4,245,1
0,0,0,300,7,0
0,0,0,199,9,0
0,263,453,15,255,1
36613,1,0,2,2,0
0,0,0,1,43,1
0,0,0,144,30,0
0,0,0,104,18,0
0,283,1980,18,255,1
0,161,5530,2,255,1
0,211,321,7,255,1
0,201,1701,7,255,1
0,8,0,1,112,0
0,147,0,3,1,1
0,0,0,74,5,0
0,567,0,1,38,1
0,0,0,225,2,0
0,0,0,66,52,0
5043,5131424,0,1,42,0
0,320,420,7,255,1
0,8,0,1,61,0
0,0,0,2,101,1
0,204,1229,4,255,1
0,0,0,1,1,0
0,10389,0,1,81,1
0,0,0,139,13,0
0,344,573,28,255,1
0,0,0,144,9,0
0,0,0,241,19,0
0,243,821,15,255,1
0,1032,0,213,255,0
0,8,0,1,11,0
0,0,0,36,1,0
0,105,146,3,239,1
0,0,0,254,17,0
1,1080,327,1,154,1
0,0,0,295,7,0
0,0,0,171,14,0
0,0,0,179,5,0
0,657,326,2,11,1
0,0,0,101,3,0
0,284,765,9,255,1
0,261,15455,22,255,1
0,317,315,1,255,1
0,33,0,8,36,1
0,0,0,2,1,0
0,0,0,1,1,0
0,44,70,195,234,1
0,215,584,4,255,1
0,0,0,260,7,0
0,332,2844,14,255,1
1,978,334,1,164,1
0,296,5670,10,255,1
0,0,0,125,8,0
0,0,0,139,6,0
0,214,9986,10,255,1
0,0,0,251,2,0
0,48,48,1,23,1
0,226,1301,5,255,1
0,0,0,211,12,0
0,78,0,20,16,1
0,0,0,208,5,0
0,0,0,1,38,1
0,0,0,268,19,0
0,0,0,1,2,0
0,0,0,2,1,0
0,294,3327,1,255,1
0,0,0,286,3,0
0,220,1249,7,255,1
0,0,0,425,1,0
0,196,3282,8,255,1
0,0,0,272,13,0
0,327,4482,4,255,1
0,0,0,241,3,0
0,319,0,2,2,1
0,1087,302,1,64,1
0,210,3754,18,255,1
0,0,0,125,18,0
0,0,0,1,255,1
0,234,6282,6,255,1
0,8,0,1,255,0
0,54540,8314,1,251,0
0,237,1461,3,255,1
0,0,0,42,62,0
0,0,0,274,10,0
0,200,955,3,255,1
0,219,657,7,255,1
0,284,5921,1,255,1
0,0,0,196,12,0
0,325,426,5,255,1
0,0,0,111,6,0
0,30,0,1,247,1
0,335,7902,1,255,1
0,36,0,2,171,1
0,0,0,168,3,0
0,43,43,122,255,1
0,0,0,108,8,0
0,0,0,1,55,1
0,0,0,36,12,0
0,0,0,143,4,0
0,216,1956,1,255,1
0,0,0,132,8,0
0,44,78,139,166,1
0,347,8113,7,255,1
1,570,280,1,104,1
0,219,17540,8,255,1
0,146,0,3,1,1
0,0,0,222,1,0
0,0,0,260,8,0
0,0,0,237,1,0
0,0,0,132,16,0
31401,1,0,2,2,0
0,0,0,57,11,0
0,18,0,1,200,0
0,0,4,1,25,1
0,233,581,13,255,1
0,0,0,257,19,0
0,276,0,1,24,1
0,44,139,77,242,1
0,8,0,1,41,0
7805,1828,148722,1,7,1
0,200,764,2,255,1
0,46,46,11,255,1
0,0,0,257,2,0
0,0,0,13,75,0
0,216,5284,9,255,1
0,0,0,137,4,0
0,234,997,28,255,1
0,220,1643,12,255,1
0,0,0,132,14,0
0,105,146,7,226,1
0,0,0,1,255,1
0,0,0,290,11,0
0,0,0,203,9,0
0,0,0,290,9,0
0,288,2881,14,255,1
0,0,0,116,3,0
0,0,0,260,5,0
0,1,0,12,24,0
0,28,0,21,21,0
0,279,494,2,255,1
0,1032,0,486,255,0
0,192,0,2,115,1
7,105,1401,1,1,1
0,0,0,1,2,0
10,1330,282,1,142,1
0,520,0,457,153,0
0,0,0,47,64,0
0,230,362,10,255,1
0,44,110,71,255,1
0,271,3582,12,255,1
0,179,1668,6,255,1
0,852,0,6,39,1
0,222,310,5,255,1
0,314,4137,7,255,1
0,0,0,139,10,0
0,230,6880,1,255,1
0,0,0,200,6,0
0,0,0,140,1,0
0,857,327,1,132,1
0,234,1707,9,255,1
0,1032,0,511,200,0
0,28,0,68,68,0
0,0,0,132,7,0
0,215,6367,9,255,1
0,46,46,215,250,1
0,105,146,1,217,1
0,0,0,115,18,0
0,0,0,35,16,0
0,0,0,275,15,0
0,305,2507,4,239,1
0,0,0,76,13,0
0,336,15767,12,255,1
0,0,0,202,8,0
0,0,0,252,13,0
5784,147,105,1,3,1
0,335,1212,3,255,1
0,0,0,74,58,0
0,339,241,1,255,1
0,317,3245,4,255,1
0,0,0,116,15,0
0,54540,8314,2,79,0
0,0,0,197,2,0
0,42,131,80,254,1
0,986,368,1,169,1
0,0,0,198,4,0
0,183,0,4,37,1
0,0,0,102,1,0
0,405,23786,1,255,1
0,0,0,223,21,0
0,785,327,1,70,1
0,258,4302,1,34,1
0,0,0,138,6,0
0,8,0,1,35,0
0,318,2649,5,255,1
0,0,0,154,1,0
0,0,0,204,18,0
0,0,0,262,4,0
0,216,1240,8,255,1
1,0,0,25,2,0
0,291,320,3,255,1
0,224,546,21,255,1
0,0,0,459,4,0
0,0,0,253,1,0
542,17,42,1,224,1
0,0,0,142,8,0
0,29,29,1,253,1
0,105,147,1,143,1
0,30,0,12,3,1
0,325,12884,5,72,1
0,0,0,139,20,0
0,0,0,1,192,1
0,12,0,1,65,1
0,212,828,9,255,1
0,240,1475,12,255,1
0,292,13206,5,255,1
0,172,12793,1,255,1
0,0,0,196,20,0
0,310,788,3,255,1
0,44,128,4,205,1
0,145,0,3,1,1
1,1238,2451,1,123,0
0,8,0,1,59,0
0,45,45,167,254,1
0,0,0,2,1,0
2,1551,362,1,135,1
4,1308,328,1,14,1
0,356,1125,3,255,1
0,364,6914,13,255,1
0,331,776,10,255,1
0,30,0,2,28,1
0,0,0,262,14,0
0,0,0,103,17,0
0,247,7546,14,255,1
0,300,1841,43,255,1
0,0,0,221,17,0
0,355,2109,5,255,1
0,0,0,33,14,0
0,316,1260,3,255,1
0,44,136,224,253,1
30,1458,4152,1,40,1
0,0,0,221,14,0
10455,146,105,4,2,1
0,0,0,1,1,0
0,0,0,284,14,0
0,1,0,2,2,0
0,0,0,150,1,0
0,0,0,255,9,0
10326,146,105,5,2,1
0,0,0,26,12,0
0,13794,2966,2,96,1
0,0,0,74,58,0
0,911,325,2,161,1
0,0,0,7,141,0
0,280,3332,2,255,1
0,0,0,235,4,0
0,0,0,131,18,0
0,41,41,100,255,1
0,10,139,1,5,1
0,311,488,11,255,1
0,281,1745,2,255,1
0,297,1285,8,255,1
0,0,0,124,2,0
0,43,72,263,242,1
0,0,0,34,15,0
0,334,0,1,17,0
0,8,0,1,28,0
0,215,9399,16,255,1
0,0,0,16,9,0
0,0,0,1,255,1
0,516,4,151,151,1
0,0,0,1,1,0
0,0,0,115,7,0
0,0,0,130,7,0
0,0,0,236,15,0
28,44,44,3,98,1
0,0,0,280,16,0
0,676,328,1,187,1
0,334,455,7,255,1
0,0,0,268,2,0
0,0,0,84,18,0
0,204,1596,24,255,1
0,520,0,139,255,0
0,0,0,211,6,0
0,192,301,9,255,1
0,18,0,1,225,0
0,0,0,100,2,0
0,0,0,101,13,0
0,0,0,265,17,0
0,256,4486,1,250,1
0,64,0,1,1,1
0,46,136,210,96,1
0,0,0,54,17,0
0,220,253,16,255,1
0,41,117,43,254,1
0,248,2313,23,255,1
0,1250,2451,1,65,0
0,0,0,248,20,0
0,44,70,127,224,1
202,209,1824,1,12,1
0,5891,0,13,1,1
0,8,0,1,255,0
0,276,1767,2,255,1
0,231,2304,13,255,1
0,0,0,251,12,0
0,312,422,11,255,1
41285,1,0,2,2,0
0,0,0,222,18,0
0,29,0,2,44,1
0,13239,0,4,63,1
0,0,0,228,4,0
0,8,223,1,8,1
0,0,0,129,22,0
0,44,79,255,255,1
0,0,0,118,17,0
0,0,0,84,1,0
0,324,10647,2,14,1
0,0,0,115,18,0
0,18,0,1,33,0
0,355,657,16,255,1
13488,1,0,2,2,0
0,0,0,111,11,0
0,54540,8314,4,68,0
0,205,253,11,255,1
0,0,0,241,12,0
0,325,753,7,255,1
0,0,0,242,1,0
0,232,193,1,255,1
4,886,326,1,60,1
0,319,3432,9,255,1
0,0,0,101,6,0
0,0,0,1,2,0
0,147,12141,12,255,1
1,1451,330,1,78,1
0,54540,8314,3,214,0
0,235,1889,1,255,1
25,0,0,1,1,0
0,0,0,320,1,0
0,299,1540,17,255,1
0,0,0,114,11,0
0,0,0,136,23,0
0,0,0,272,4,0
0,0,0,209,9,0
0,237,241,66,255,1
0,0,0,110,16,0
3047,146,105,1,1,1
0,0,0,2,1,0
1327,146,105,3,1,1
0,202,1923,16,255,1
0,0,0,268,5,0
0,383,0,3,29,1
0,345,2254,4,255,1
0,278,6546,7,255,1
0,0,0,292,11,0
0,196,16143,5,255,1
0,0,0,2,2,0
0,277,2253,17,255,1
0,203,578,19,255,1
0,0,0,1,1,0
860,147,105,1,1,1
0,0,0,297,15,0
0,0,0,150,1,0
0,0,0,198,6,0
0,0,0,63,4,0
0,367,5199,4,255,1
0,0,0,199,1,0
0,257,23051,1,255,1
0,8,0,1,255,0
0,44,44,106,254,1
0,128,44,68,240,1
0,254,523,20,255,1
0,225,22996,6,255,1
0,775,331,1,105,1
475,314,266,11,239,1
0,0,0,299,9,0
8,525,335,1,178,1
0,0,0,509,1,0
0,1,0,30,8,0
0,213,37327,3,255,1
0,190,8654,4,255,1
0,0,0,234,16,0
0,28,0,88,88,0
0,0,0,244,17,0
27,1067,3081,1,70,1
0,126,44,254,110,1
0,333,2547,4,255,1
0,0,0,237,12,0
0,4491,0,1,79,1
0,0,0,287,15,0
0,54540,8314,4,4,0
0,239,255,19,255,1
0,0,0,1,255,1
2,1258,359,1,192,1
0,0,0,11,73,0
0,0,0,73,17,0
0,0,0,1,90,1
0,42,65,104,245,1
0,224,1270,6,255,1
0,231,3215,1,255,1
5065,147,105,1,2,1
0,44,72,256,254,1
0,183,0,2,15,1
0,0,0,240,6,0
0,0,0,149,13,0
0,125,179,1,4,0
0,13,40,1,3,1
0,233,4759,14,255,1
0,30,0,2,19,1
0,0,0,92,14,0
0,278,7958,1,255,1
0,0,0,2,1,0
0,0,0,191,2,0
0,237,5193,1,216,1
0,301,2698,8,84,1
0,246,3295,5,255,1
0,230,12471,6,255,1
0,46,82,230,255,1
1985,147,105,1,2,1
0,0,0,12,5,0
0,641,0,2,55,1
0,28,0,99,66,0
0,0,0,150,1,0
0,82,1,1,1,1
0,0,0,226,16,0
0,0,0,81,1,0
0,0,0,122,27,0
0,46,80,54,255,1
0,0,0,237,20,0
0,0,0,219,3,0
0,376,345,1,255,1
0,0,0,148,37,0
5,105,146,2,246,1
0,334,0,1,22,0
0,0,0,276,20,0
0,30,0,4,29,1
0,1053,329,1,177,1
0,46,130,66,196,1
0,45,119,148,254,1
1,1539,395,1,147,1
0,0,0,166,17,0
0,0,0,197,5,0
0,358,1758,1,255,1
0,44,133,71,255,1
0,282,1227,2,175,1
0,323,1509,4,255,1
0,105,105,1,76,1
0,218,358,11,255,1
0,0,0,104,2,0
0,0,0,264,20,0
0,329,303,10,255,1
0,788,328,1,29,1
0,311,4591,21,255,1
0,0,0,254,22,0
0,0,0,122,11,0
0,35,130,1,8,1
0,1032,0,511,118,0
0,0,0,101,1,0
0,0,0,232,15,0
0,59,0,16,52,1
0,0,0,131,7,0
0,226,1022,23,255,1
0,203,2108,9,255,1
8,2544,333,1,189,1
0,1032,0,511,67,0
0,327,6721,4,255,1
0,0,0,126,4,0
0,0,0,263,3,0
0,0,0,1,158,1
0,0,0,127,12,0
0,0,0,194,18,0
0,54540,8314,2,118,0
0,0,0,1,1,0
0,0,0,266,15,0
0,28,0,27,27,0
0,8,0,1,183,0
0,0,0,25,51,0
0,0,0,100,7,0
1,763,335,1,96,1
0,0,0,240,10,0
0,307,8339,5,255,1
0,0,0,287,10,0
0,0,0,282,19,0
0,236,7262,1,255,1
0,246,0,1,16,0
0,0,0,129,18,0
0,0,0,244,5,0
0,0,0,279,11,0
0,300,13038,1,255,1
0,254,390,13,255,1
5753,147,105,1,2,1
0,0,0,134,17,0
17399,1,0,2,2,0
0,334,0,2,27,0
1,0,0,65,2,0
31,1221,3380,1,41,1
0,0,0,269,18,0
0,8,0,1,129,0
0,299,291,2,255,1
0,1874,0,9,30,1
0,1301,335,1,114,1
21263,1,0,2,2,0
0,43,132,216,253,1
0,1032,0,322,219,0
0,0,0,31,11,0
0,330,256,4,255,1
0,0,0,271,25,0
0,302,7497,26,255,1
0,0,0,140,12,0
0,0,0,180,13,0
0,0,0,278,20,0
0,0,0,45,4,0
0,0,0,6,3,0
0,284,307,2,255,1
0,0,0,279,10,0
0,12,0,1,44,1
0,238,276,13,255,1
1,1194,482,1,13,1
0,6601,0,21,1,1
0,12,0,1,21,1
2,1452,330,1,78,1
2,2194619,0,2,28,1
0,0,0,111,17,0
0,0,0,366,1,0
0,0,0,145,7,0
0,240,748,9,255,1
0,0,0,231,14,0
0,42,42,8,245,1
0,0,0,130,2,0
0,336,1294,21,255,1
3,11436,1383,1,142,1
0,0,0,23,54,0
0,195,4768,2,255,1
0,516,4,191,191,1
0,286,3491,10,255,1
0,0,0,214,15,0
0,215,1062,6,255,1
0,196,1337,35,255,1
5,722,334,1,116,1
0,0,0,2,1,0
0,0,0,244,2,0
0,214,3477,2,255,1
0,0,0,257,17,0
0,232,2140,12,255,1
0,224,1783,2,255,1
0,8,0,1,129,0
0,192,0,2,117,1
0,294,478,23,255,1
0,0,0,78,1,0
0,213,259,7,255,1
0,0,0,234,6,0
8,105,146,2,237,1
0,0,0,116,2,0
0,303,458,1,255,1
0,0,0,106,17,0
0,44,126,74,196,1
4931,73,45,2,70,1
0,197,2276,2,9,1
0,0,0,1,1,0
0,242,6725,1,255,1
0,0,0,256,4,0
0,308,607,8,255,1
0,0,0,286,5,0
0,0,0,233,9,0
0,291,868,23,255,1
0,0,0,29,63,0
0,2697,331,1,87,1
0,1,0,17,214,0
0,0,0,108,9,0
0,0,0,102,2,0
0,200,3042,10,255,1
0,0,0,229,9,0
0,0,0,239,4,0
0,8,224,1,5,1
0,1032,0,511,98,0
0,28,0,18,18,0
0,0,0,258,6,0
0,341,281,4,243,1
0,8,493,1,12,1
0,0,0,105,27,0
0,0,0,145,21,0
1,1483,363,1,126,1
0,46,128,19,238,1
0,2426,2737,10,255,1
0,36,0,1,78,1
0,210,1425,10,255,1
0,0,0,123,21,0
0,0,0,9,2,0
0,170,13603,1,255,1
0,0,0,45,10,0
0,8,0,1,17,0
0,0,0,265,9,0
0,0,0,255,10,0
0,0,0,104,10,0
0,0,0,150,14,0
0,269,8921,2,255,1
0,315,347,31,255,1
0,0,0,232,3,0
0,0,0,217,2,0
0,0,0,66,16,0
0,0,0,1,1,0
0,216,7384,16,255,1
0,0,0,1,255,1
0,0,0,1,1,0
0,235,12623,4,255,1
0,667,332,1,104,1
2,1160,333,1,97,1
0,8,0,1,169,0
2,1299,329,1,17,1
0,0,0,195,1,0
0,0,0,232,13,0
0,711,336,1,130,1
0,1032,0,65,255,0
0,8,0,1,80,0
2,0,0,1,1,0
0,0,0,120,1,0
0,0,0,204,1,0
0,42,42,8,247,1
4,0,0,63,2,0
0,147,0,1,1,1
0,0,0,1,255,1
0,0,0,262,18,0
0,222,5834,3,255,1
0,0,0,146,4,0
0,198,1427,20,255,1
0,0,0,2,1,0
0,520,0,261,255,0
0,0,0,242,1,0
0,0,0,213,21,0
0,0,0,50,51,0
0,8,0,1,255,0
0,0,0,170,11,0
0,0,0,252,23,0
0,0,0,126,8,0
0,217,1035,34,255,1
0,0,0,269,18,0
0,8,0,1,153,0
0,252,2795,5,255,1
0,200,940,6,255,1
0,0,0,61,57,0
0,243,663,13,255,1
0,0,0,281,3,0
0,0,0,1,92,1
0,0,0,240,1,0
0,0,0,260,14,0
0,0,0,275,3,0
0,0,0,116,12,0
0,0,0,164,8,0
0,209,2408,3,255,1
0,215,11680,1,255,1
0,0,0,194,3,0
0,31,0,1,19,1
0,338,275,13,255,1
0,249,27998,1,255,1
0,232,5745,8,255,1
0,260,283,8,251,1
0,0,0,121,16,0
0,0,0,220,11,0
0,2168,402,1,16,1
0,373,0,8,75,1
0,347,1417,23,255,1
0,354,1875,3,255,1
0,0,0,29,62,0
0,0,0,229,11,0
0,0,0,118,16,0
0,0,0,240,9,0
0,305,2698,3,251,1
0,0,0,18,24,0
0,105,147,8,242,1
0,221,602,51,255,1
0,887,436,1,109,1
0,695,328,1,130,1
0,520,0,434,30,0
0,495,0,1,30,1
0,0,0,144,15,0
0,0,0,258,9,0
0,2760,370,1,154,1
0,45,83,154,249,1
1,756,332,1,53,1
0,0,0,511,1,0
0,218,6776,11,255,1
0,0,0,111,5,0
0,0,0,228,22,0
0,0,0,282,15,0
0,7196,0,9,55,1
0,46,134,307,225,1
0,12,0,1,24,1
0,45,130,43,171,1
0,43,71,202,255,1
0,520,0,282,255,0
0,206,12642,4,255,1
0,1032,0,250,250,0
9908,2634,8611,1,4,1
357,334,10686,1,65,1
0,4539,0,20,49,1
0,320,520,23,255,1
0,30,0,2,6,1
0,0,0,1,155,1
0,281,759,3,255,1
0,345,3938,10,255,1
0,0,0,75,15,0
0,223,408,6,255,1
0,0,0,262,7,0
0,0,0,1,229,1
0,8,0,1,139,0
0,0,0,206,20,0
0,204,260,17,255,1
0,0,0,270,7,0
1051,1,0,2,2,0
0,0,0,239,6,0
0,0,0,229,7,0
799,676,23920,3,16,1
0,209,3556,2,255,1
0,0,0,113,7,0
0,0,0,279,5,0
0,229,934,3,255,1
0,0,0,233,13,0
0,516,4,148,148,1
0,344,1247,9,255,1
0,0,0,207,19,0
0,0,0,112,5,0
0,277,1224,1,255,1
0,325,3941,4,255,1
0,0,0,210,13,0
1,1277,328,1,168,1
0,0,0,255,17,0
0,0,0,102,2,0
0,219,183,8,255,1
0,0,0,4,1,0
0,0,0,175,3,0
0,41,71,121,199,1
0,0,0,118,8,0
0,0,0,1,1,0
0,326,420,3,255,1
0,0,0,206,4,0
0,1032,0,134,134,0
0,0,0,432,1,0
0,334,0,1,54,0
0,8,0,1,73,0
1,0,0,72,3,0
0,0,0,144,9,0
0,229,301,4,255,1
0,205,6622,9,255,1
0,0,0,253,4,0
0,319,583,9,255,1
0,0,0,247,16,0
0,304,1380,1,190,1
0,9,317,1,8,1
0,0,0,282,17,0
0,356,1137,6,255,1
0,0,0,89,2,0
0,44,73,212,255,1
0,0,0,144,29,0
0,299,12471,15,255,1
35682,381709090,0,1,2,0
0,6,123,8,166,0
4,0,15,1,1,1
0,0,0,258,3,0
0,0,0,101,20,0
0,366,4084,7,255,1
0,0,0,1,4,1
0,0,0,284,19,0
3,2194619,0,2,72,1
15435,145,105,4,2,1
2414,146,105,3,1,1
0,0,0,104,18,0
0,45,45,80,249,1
0,0,0,67,37,0
0,0,0,291,14,0
0,236,357,18,255,1
0,0,0,114,3,0
0,0,0,116,4,0
0,258,11380,6,251,1
10,0,0,1,1,0
0,188,13450,1,255,1
0,0,0,9,12,0
0,1195,2449,1,14,0
0,992,329,1,170,1
0,0,0,235,15,0
0,310,255,9,156,1
6,2597,331,1,163,1
0,0,0,179,25,0
0,251,1981,2,255,1
0,0,0,272,6,0
0,748,0,1,33,1
0,158,38643,1,255,1
0,0,0,248,11,0
0,0,0,9,9,0
0,8,0,1,62,0
0,0,0,126,16,0
0,229,682,7,255,1
0,8,0,1,68,0
0,10044,0,12,92,1
0,123,234,1,85,1
0,0,0,150,4,0
0,276,108545,3,255,1
0,0,0,1,2,0
0,319,4143,15,255,1
0,280,16574,9,255,1
0,0,0,114,6,0
0,42,42,7,255,1
0,8,0,1,106,0
0,2838,325,1,130,1
0,463,12604,19,255,1
0,0,0,279,23,0
0,0,0,239,4,0
0,45,134,77,255,1
0,8,0,1,75,0
1,0,4,1,12,1
0,0,0,277,20,0
0,28,0,92,92,0
0,0,0,511,1,0
0,294,3808,2,255,1
8486,146,105,1,1,1
0,31,91,3,20,1
0,29,29,2,193,1
0,0,0,123,18,0
0,1131,326,1,180,1
0,217,2887,10,255,1
0,1329,330,1,177,1
0,44,145,213,255,1
0,0,0,273,6,0
0,8,0,1,29,0
0,224,6874,3,255,1
0,290,1704,9,255,1
0,242,16819,7,255,1
0,197,7204,2,167,1
0,1032,0,511,126,0
0,318,9696,40,255,1
0,0,0,171,8,0
0,234,2659,12,246,1
0,1032,0,511,166,0
1,1492,336,1,165,1
0,0,0,26,4,0
0,0,0,36,72,0
0,0,0,2,115,1
0,303,6833,9,255,1
0,262,3819,10,255,1
0,0,0,149,13,0
0,334,0,2,20,0
0,258,12037,10,255,1
0,215,0,1,83,0
0,246,1600,6,255,1
0,312,3222,3,246,1
0,201,0,5,114,1
0,222,2446,19,255,1
0,290,2107,9,255,1
0,11376,0,9,45,1
